series_id,period_end,fiscal_year,fiscal_quarter,segment,component,value,units,source,notes
de_op_bridge,2020-02-02,2020,1,CF,opening_operating_profit,229,USDm,slides/2020-02-21__de-us-20200221-slide__469359.md,"prior-year same quarter, per 8-K segment table: 2020-02-21__de-us-20200221-q1-8k__469227.md"
de_op_bridge,2020-02-02,2020,1,CF,volume_mix,-118,USDm,slides/2020-02-21__de-us-20200221-slide__469359.md,parse=prose_aligned; pre-FY2021 segment basis (as reported at the time)
de_op_bridge,2020-02-02,2020,1,CF,price,15,USDm,slides/2020-02-21__de-us-20200221-slide__469359.md,parse=prose_aligned; pre-FY2021 segment basis (as reported at the time)
de_op_bridge,2020-02-02,2020,1,CF,currency,5,USDm,slides/2020-02-21__de-us-20200221-slide__469359.md,parse=prose_aligned; pre-FY2021 segment basis (as reported at the time)
de_op_bridge,2020-02-02,2020,1,CF,warranty,-11,USDm,slides/2020-02-21__de-us-20200221-slide__469359.md,parse=prose_aligned; pre-FY2021 segment basis (as reported at the time)
de_op_bridge,2020-02-02,2020,1,CF,production_costs,-1,USDm,slides/2020-02-21__de-us-20200221-slide__469359.md,parse=prose_aligned; pre-FY2021 segment basis (as reported at the time)
de_op_bridge,2020-02-02,2020,1,CF,sag_rd,-5,USDm,slides/2020-02-21__de-us-20200221-slide__469359.md,parse=prose_aligned; pre-FY2021 segment basis (as reported at the time)
de_op_bridge,2020-02-02,2020,1,CF,other,3,USDm,slides/2020-02-21__de-us-20200221-slide__469359.md,parse=prose_aligned; pre-FY2021 segment basis (as reported at the time)
de_op_bridge,2020-02-02,2020,1,CF,voluntary_separation,-24,USDm,slides/2020-02-21__de-us-20200221-slide__469359.md,parse=prose_aligned; pre-FY2021 segment basis (as reported at the time)
de_op_bridge,2020-02-02,2020,1,CF,closing_operating_profit,93,USDm,slides/2020-02-21__de-us-20200221-slide__469359.md,"reported quarter, per 8-K segment table: 2020-02-21__de-us-20200221-q1-8k__469227.md"
de_op_bridge,2020-05-03,2020,2,CF,opening_operating_profit,347,USDm,slides/2020-05-21__de-us-20200521-slide__469383.md,"prior-year same quarter, per 8-K segment table: 2020-05-21__de-us-20200521-q2-8k__469475.md"
de_op_bridge,2020-05-03,2020,2,CF,volume_mix,-192,USDm,slides/2020-05-21__de-us-20200521-slide__469383.md,parse=prose_aligned; pre-FY2021 segment basis (as reported at the time)
de_op_bridge,2020-05-03,2020,2,CF,price,32,USDm,slides/2020-05-21__de-us-20200521-slide__469383.md,parse=prose_aligned; pre-FY2021 segment basis (as reported at the time)
de_op_bridge,2020-05-03,2020,2,CF,currency,-29,USDm,slides/2020-05-21__de-us-20200521-slide__469383.md,parse=prose_aligned; pre-FY2021 segment basis (as reported at the time)
de_op_bridge,2020-05-03,2020,2,CF,warranty,-4,USDm,slides/2020-05-21__de-us-20200521-slide__469383.md,parse=prose_aligned; pre-FY2021 segment basis (as reported at the time)
de_op_bridge,2020-05-03,2020,2,CF,production_costs,53,USDm,slides/2020-05-21__de-us-20200521-slide__469383.md,parse=prose_aligned; pre-FY2021 segment basis (as reported at the time)
de_op_bridge,2020-05-03,2020,2,CF,sag_rd,6,USDm,slides/2020-05-21__de-us-20200521-slide__469383.md,parse=prose_aligned; pre-FY2021 segment basis (as reported at the time)
de_op_bridge,2020-05-03,2020,2,CF,other,-35,USDm,slides/2020-05-21__de-us-20200521-slide__469383.md,parse=prose_aligned; pre-FY2021 segment basis (as reported at the time)
de_op_bridge,2020-05-03,2020,2,CF,impairment,-82,USDm,slides/2020-05-21__de-us-20200521-slide__469383.md,parse=prose_aligned; pre-FY2021 segment basis (as reported at the time)
de_op_bridge,2020-05-03,2020,2,CF,closing_operating_profit,96,USDm,slides/2020-05-21__de-us-20200521-slide__469383.md,"reported quarter, per 8-K segment table: 2020-05-21__de-us-20200521-q2-8k__469475.md"
de_op_bridge,2020-08-02,2020,3,CF,opening_operating_profit,378,USDm,slides/2020-08-20__de-us-20200820-slide__46433.md,"prior-year same quarter, per 8-K segment table: 2020-08-20__de-us-20200820-q3-8k__105830.md"
de_op_bridge,2020-08-02,2020,3,CF,volume_mix,-306,USDm,slides/2020-08-20__de-us-20200820-slide__46433.md,parse=json_arrays; kept the most explicit read (json_arrays); pre-FY2021 segment basis (as reported at the time)
de_op_bridge,2020-08-02,2020,3,CF,price,84,USDm,slides/2020-08-20__de-us-20200820-slide__46433.md,parse=json_arrays; kept the most explicit read (json_arrays); pre-FY2021 segment basis (as reported at the time)
de_op_bridge,2020-08-02,2020,3,CF,currency,-14,USDm,slides/2020-08-20__de-us-20200820-slide__46433.md,parse=json_arrays; kept the most explicit read (json_arrays); pre-FY2021 segment basis (as reported at the time)
de_op_bridge,2020-08-02,2020,3,CF,warranty,14,USDm,slides/2020-08-20__de-us-20200820-slide__46433.md,parse=json_arrays; kept the most explicit read (json_arrays); pre-FY2021 segment basis (as reported at the time)
de_op_bridge,2020-08-02,2020,3,CF,production_costs,2,USDm,slides/2020-08-20__de-us-20200820-slide__46433.md,parse=json_arrays; kept the most explicit read (json_arrays); pre-FY2021 segment basis (as reported at the time)
de_op_bridge,2020-08-02,2020,3,CF,sag_rd,35,USDm,slides/2020-08-20__de-us-20200820-slide__46433.md,parse=json_arrays; kept the most explicit read (json_arrays); pre-FY2021 segment basis (as reported at the time)
de_op_bridge,2020-08-02,2020,3,CF,other,12,USDm,slides/2020-08-20__de-us-20200820-slide__46433.md,parse=json_arrays; kept the most explicit read (json_arrays); pre-FY2021 segment basis (as reported at the time)
de_op_bridge,2020-08-02,2020,3,CF,closing_operating_profit,205,USDm,slides/2020-08-20__de-us-20200820-slide__46433.md,"reported quarter, per 8-K segment table: 2020-08-20__de-us-20200820-q3-8k__105830.md"
de_op_bridge,2020-11-01,2020,4,CF,opening_operating_profit,261,USDm,slides/2020-11-25__de-us-20201125-slide__46418.md,"prior-year same quarter, per 8-K segment table: 2020-11-25__de-us-20201125-q4-8k__105817.md"
de_op_bridge,2020-11-01,2020,4,CF,volume_mix,-154,USDm,slides/2020-11-25__de-us-20201125-slide__46418.md,parse=json_arrays; kept the most explicit read (json_arrays); pre-FY2021 segment basis (as reported at the time)
de_op_bridge,2020-11-01,2020,4,CF,price,94,USDm,slides/2020-11-25__de-us-20201125-slide__46418.md,parse=json_arrays; kept the most explicit read (json_arrays); pre-FY2021 segment basis (as reported at the time)
de_op_bridge,2020-11-01,2020,4,CF,currency,-1,USDm,slides/2020-11-25__de-us-20201125-slide__46418.md,parse=json_arrays; kept the most explicit read (json_arrays); pre-FY2021 segment basis (as reported at the time)
de_op_bridge,2020-11-01,2020,4,CF,warranty,19,USDm,slides/2020-11-25__de-us-20201125-slide__46418.md,parse=json_arrays; kept the most explicit read (json_arrays); pre-FY2021 segment basis (as reported at the time)
de_op_bridge,2020-11-01,2020,4,CF,production_costs,19,USDm,slides/2020-11-25__de-us-20201125-slide__46418.md,parse=json_arrays; kept the most explicit read (json_arrays); pre-FY2021 segment basis (as reported at the time)
de_op_bridge,2020-11-01,2020,4,CF,sag_rd,20,USDm,slides/2020-11-25__de-us-20201125-slide__46418.md,parse=json_arrays; kept the most explicit read (json_arrays); pre-FY2021 segment basis (as reported at the time)
de_op_bridge,2020-11-01,2020,4,CF,special_items,-76,USDm,slides/2020-11-25__de-us-20201125-slide__46418.md,parse=json_arrays; kept the most explicit read (json_arrays); pre-FY2021 segment basis (as reported at the time)
de_op_bridge,2020-11-01,2020,4,CF,other,14,USDm,slides/2020-11-25__de-us-20201125-slide__46418.md,parse=json_arrays; kept the most explicit read (json_arrays); pre-FY2021 segment basis (as reported at the time)
de_op_bridge,2020-11-01,2020,4,CF,closing_operating_profit,196,USDm,slides/2020-11-25__de-us-20201125-slide__46418.md,"reported quarter, per 8-K segment table: 2020-11-25__de-us-20201125-q4-8k__105817.md"
de_op_bridge,2021-01-31,2021,1,CF,opening_operating_profit,93,USDm,slides/2021-02-19__de-us-20210219-slide__46421.md,"prior-year same quarter, per 8-K segment table: 2021-02-19__de-us-20210219-q1-8k__105842.md"
de_op_bridge,2021-01-31,2021,1,CF,volume_mix,135,USDm,slides/2021-02-19__de-us-20210219-slide__46421.md,parse=json_arrays; tie-break: 8-K narrative driver signs
de_op_bridge,2021-01-31,2021,1,CF,price,67,USDm,slides/2021-02-19__de-us-20210219-slide__46421.md,parse=json_arrays; tie-break: 8-K narrative driver signs
de_op_bridge,2021-01-31,2021,1,CF,currency,-13,USDm,slides/2021-02-19__de-us-20210219-slide__46421.md,parse=json_arrays; tie-break: 8-K narrative driver signs
de_op_bridge,2021-01-31,2021,1,CF,warranty,-2,USDm,slides/2021-02-19__de-us-20210219-slide__46421.md,parse=json_arrays; tie-break: 8-K narrative driver signs
de_op_bridge,2021-01-31,2021,1,CF,production_costs,-19,USDm,slides/2021-02-19__de-us-20210219-slide__46421.md,parse=json_arrays; tie-break: 8-K narrative driver signs
de_op_bridge,2021-01-31,2021,1,CF,sag_rd,-21,USDm,slides/2021-02-19__de-us-20210219-slide__46421.md,parse=json_arrays; tie-break: 8-K narrative driver signs
de_op_bridge,2021-01-31,2021,1,CF,special_items,-13,USDm,slides/2021-02-19__de-us-20210219-slide__46421.md,parse=json_arrays; tie-break: 8-K narrative driver signs
de_op_bridge,2021-01-31,2021,1,CF,other,41,USDm,slides/2021-02-19__de-us-20210219-slide__46421.md,parse=json_arrays; tie-break: 8-K narrative driver signs
de_op_bridge,2021-01-31,2021,1,CF,closing_operating_profit,268,USDm,slides/2021-02-19__de-us-20210219-slide__46421.md,"reported quarter, per 8-K segment table: 2021-02-19__de-us-20210219-q1-8k__105842.md"
de_op_bridge,2021-05-02,2021,2,CF,opening_operating_profit,96,USDm,slides/2021-05-21__de-us-20210521-slide__46479.md,"prior-year same quarter, per 8-K segment table: 2021-05-21__de-us-20210521-q2-8k__105846.md"
de_op_bridge,2021-05-02,2021,2,CF,volume_mix,178,USDm,slides/2021-05-21__de-us-20210521-slide__46479.md,parse=json_arrays; kept the most explicit read (json_arrays)
de_op_bridge,2021-05-02,2021,2,CF,price,104,USDm,slides/2021-05-21__de-us-20210521-slide__46479.md,parse=json_arrays; kept the most explicit read (json_arrays)
de_op_bridge,2021-05-02,2021,2,CF,currency,14,USDm,slides/2021-05-21__de-us-20210521-slide__46479.md,parse=json_arrays; kept the most explicit read (json_arrays)
de_op_bridge,2021-05-02,2021,2,CF,warranty,-5,USDm,slides/2021-05-21__de-us-20210521-slide__46479.md,parse=json_arrays; kept the most explicit read (json_arrays)
de_op_bridge,2021-05-02,2021,2,CF,production_costs,-29,USDm,slides/2021-05-21__de-us-20210521-slide__46479.md,parse=json_arrays; kept the most explicit read (json_arrays)
de_op_bridge,2021-05-02,2021,2,CF,sag_rd,3,USDm,slides/2021-05-21__de-us-20210521-slide__46479.md,parse=json_arrays; kept the most explicit read (json_arrays)
de_op_bridge,2021-05-02,2021,2,CF,special_items,85,USDm,slides/2021-05-21__de-us-20210521-slide__46479.md,parse=json_arrays; kept the most explicit read (json_arrays)
de_op_bridge,2021-05-02,2021,2,CF,other,43,USDm,slides/2021-05-21__de-us-20210521-slide__46479.md,parse=json_arrays; kept the most explicit read (json_arrays)
de_op_bridge,2021-05-02,2021,2,CF,closing_operating_profit,489,USDm,slides/2021-05-21__de-us-20210521-slide__46479.md,"reported quarter, per 8-K segment table: 2021-05-21__de-us-20210521-q2-8k__105846.md"
de_op_bridge,2021-08-01,2021,3,CF,opening_operating_profit,205,USDm,slides/2021-08-20__de-us-20210820-slide__46481.md,"prior-year same quarter, per 8-K segment table: 2021-08-20__de-us-20210820-q3-8k__105827.md"
de_op_bridge,2021-08-01,2021,3,CF,volume_mix,212,USDm,slides/2021-08-20__de-us-20210820-slide__46481.md,parse=json_keyed
de_op_bridge,2021-08-01,2021,3,CF,price,123,USDm,slides/2021-08-20__de-us-20210820-slide__46481.md,parse=json_keyed
de_op_bridge,2021-08-01,2021,3,CF,currency,-11,USDm,slides/2021-08-20__de-us-20210820-slide__46481.md,parse=json_keyed
de_op_bridge,2021-08-01,2021,3,CF,warranty,-2,USDm,slides/2021-08-20__de-us-20210820-slide__46481.md,parse=json_keyed
de_op_bridge,2021-08-01,2021,3,CF,production_costs,-51,USDm,slides/2021-08-20__de-us-20210820-slide__46481.md,parse=json_keyed
de_op_bridge,2021-08-01,2021,3,CF,sag_rd,-32,USDm,slides/2021-08-20__de-us-20210820-slide__46481.md,parse=json_keyed
de_op_bridge,2021-08-01,2021,3,CF,special_items,0,USDm,slides/2021-08-20__de-us-20210820-slide__46481.md,parse=json_keyed
de_op_bridge,2021-08-01,2021,3,CF,other,19,USDm,slides/2021-08-20__de-us-20210820-slide__46481.md,parse=json_keyed
de_op_bridge,2021-08-01,2021,3,CF,closing_operating_profit,463,USDm,slides/2021-08-20__de-us-20210820-slide__46481.md,"reported quarter, per 8-K segment table: 2021-08-20__de-us-20210820-q3-8k__105827.md"
de_op_bridge,2021-10-31,2021,4,CF,opening_operating_profit,196,USDm,slides/2021-11-24__de-us-20211124-slide__46437.md,"prior-year same quarter, per 8-K segment table: 2021-11-24__de-us-20211124-q4-8k__105843.md"
de_op_bridge,2021-10-31,2021,4,CF,volume_mix,67,USDm,slides/2021-11-24__de-us-20211124-slide__46437.md,parse=json_objects
de_op_bridge,2021-10-31,2021,4,CF,price,151,USDm,slides/2021-11-24__de-us-20211124-slide__46437.md,parse=json_objects
de_op_bridge,2021-10-31,2021,4,CF,currency,-1,USDm,slides/2021-11-24__de-us-20211124-slide__46437.md,parse=json_objects
de_op_bridge,2021-10-31,2021,4,CF,warranty,-20,USDm,slides/2021-11-24__de-us-20211124-slide__46437.md,parse=json_objects
de_op_bridge,2021-10-31,2021,4,CF,production_costs,-118,USDm,slides/2021-11-24__de-us-20211124-slide__46437.md,parse=json_objects
de_op_bridge,2021-10-31,2021,4,CF,sag_rd,-18,USDm,slides/2021-11-24__de-us-20211124-slide__46437.md,parse=json_objects
de_op_bridge,2021-10-31,2021,4,CF,special_items,76,USDm,slides/2021-11-24__de-us-20211124-slide__46437.md,parse=json_objects
de_op_bridge,2021-10-31,2021,4,CF,other,-63,USDm,slides/2021-11-24__de-us-20211124-slide__46437.md,parse=json_objects
de_op_bridge,2021-10-31,2021,4,CF,closing_operating_profit,270,USDm,slides/2021-11-24__de-us-20211124-slide__46437.md,"reported quarter, per 8-K segment table: 2021-11-24__de-us-20211124-q4-8k__105843.md"
de_op_bridge,2022-01-30,2022,1,CF,opening_operating_profit,268,USDm,slides/2022-02-18__de-us-20220218-slide__46449.md,"prior-year same quarter, per 8-K segment table: 2022-02-18__de-us-20220218-q1-8k__105812.md"
de_op_bridge,2022-01-30,2022,1,CF,volume_mix,-62,USDm,slides/2022-02-18__de-us-20220218-slide__46449.md,parse=json_arrays; kept the most explicit read (json_arrays)
de_op_bridge,2022-01-30,2022,1,CF,price,177,USDm,slides/2022-02-18__de-us-20220218-slide__46449.md,parse=json_arrays; kept the most explicit read (json_arrays)
de_op_bridge,2022-01-30,2022,1,CF,currency,-4,USDm,slides/2022-02-18__de-us-20220218-slide__46449.md,parse=json_arrays; kept the most explicit read (json_arrays)
de_op_bridge,2022-01-30,2022,1,CF,warranty,12,USDm,slides/2022-02-18__de-us-20220218-slide__46449.md,parse=json_arrays; kept the most explicit read (json_arrays)
de_op_bridge,2022-01-30,2022,1,CF,production_costs,-132,USDm,slides/2022-02-18__de-us-20220218-slide__46449.md,parse=json_arrays; kept the most explicit read (json_arrays)
de_op_bridge,2022-01-30,2022,1,CF,sag_rd,26,USDm,slides/2022-02-18__de-us-20220218-slide__46449.md,parse=json_arrays; kept the most explicit read (json_arrays)
de_op_bridge,2022-01-30,2022,1,CF,special_items,9,USDm,slides/2022-02-18__de-us-20220218-slide__46449.md,parse=json_arrays; kept the most explicit read (json_arrays)
de_op_bridge,2022-01-30,2022,1,CF,other,-22,USDm,slides/2022-02-18__de-us-20220218-slide__46449.md,parse=json_arrays; kept the most explicit read (json_arrays)
