series_id,period_end,fiscal_year,fiscal_quarter,value,units,source_type,source,notes
idx_used_equipment_values,2022-11-30,2022,Q4,100.00,index,inference,https://www.sandhills.com/news/article/250037871,"CHAIN RESTART (run 1 begins here): the source releases skip at least one month before this date, so this 100.00 is a NEW base, NOT a move in value. Do not difference this row against the row before it. DERIVED index of used high-horsepower tractors auction values, built by chain-linking the month-over-month percentage changes Sandhills publishes. Base = 100.00 at the first month of each unbroken run of consecutive monthly observations, so levels are comparable ONLY within a run. Not a Sandhills-published index level; the underlying observables are the us_used_*_auction_value_mom_pct / _yoy_pct series, which are preferable for modelling."
idx_used_equipment_values,2023-06-30,2023,Q2,100.00,index,inference,https://www.sandhills.com/news/article/250039968,"CHAIN RESTART (run 2 begins here): the source releases skip at least one month before this date, so this 100.00 is a NEW base, NOT a move in value. Do not difference this row against the row before it. DERIVED index of used high-horsepower tractors auction values, built by chain-linking the month-over-month percentage changes Sandhills publishes. Base = 100.00 at the first month of each unbroken run of consecutive monthly observations, so levels are comparable ONLY within a run. Not a Sandhills-published index level; the underlying observables are the us_used_*_auction_value_mom_pct / _yoy_pct series, which are preferable for modelling."
idx_used_equipment_values,2024-03-31,2024,Q1,100.00,index,inference,https://www.sandhills.com/news/article/250041763,"CHAIN RESTART (run 3 begins here): the source releases skip at least one month before this date, so this 100.00 is a NEW base, NOT a move in value. Do not difference this row against the row before it. DERIVED index of used high-horsepower tractors auction values, built by chain-linking the month-over-month percentage changes Sandhills publishes. Base = 100.00 at the first month of each unbroken run of consecutive monthly observations, so levels are comparable ONLY within a run. Not a Sandhills-published index level; the underlying observables are the us_used_*_auction_value_mom_pct / _yoy_pct series, which are preferable for modelling."
idx_used_equipment_values,2024-05-31,2024,Q2,100.00,index,inference,https://www.sandhills.com/news/article/250042180,"CHAIN RESTART (run 4 begins here): the source releases skip at least one month before this date, so this 100.00 is a NEW base, NOT a move in value. Do not difference this row against the row before it. DERIVED index of used high-horsepower tractors auction values, built by chain-linking the month-over-month percentage changes Sandhills publishes. Base = 100.00 at the first month of each unbroken run of consecutive monthly observations, so levels are comparable ONLY within a run. Not a Sandhills-published index level; the underlying observables are the us_used_*_auction_value_mom_pct / _yoy_pct series, which are preferable for modelling."
idx_used_equipment_values,2024-06-30,2024,Q2,96.47,index,inference,https://www.sandhills.com/news/article/250042343,"Run 4. DERIVED index of used high-horsepower tractors auction values, built by chain-linking the month-over-month percentage changes Sandhills publishes. Base = 100.00 at the first month of each unbroken run of consecutive monthly observations, so levels are comparable ONLY within a run. Not a Sandhills-published index level; the underlying observables are the us_used_*_auction_value_mom_pct / _yoy_pct series, which are preferable for modelling."
idx_used_equipment_values,2024-07-31,2024,Q3,95.26,index,inference,https://www.sandhills.com/news/article/250042505,"Run 4. DERIVED index of used high-horsepower tractors auction values, built by chain-linking the month-over-month percentage changes Sandhills publishes. Base = 100.00 at the first month of each unbroken run of consecutive monthly observations, so levels are comparable ONLY within a run. Not a Sandhills-published index level; the underlying observables are the us_used_*_auction_value_mom_pct / _yoy_pct series, which are preferable for modelling."
idx_used_equipment_values,2024-08-31,2024,Q3,93.56,index,inference,https://www.sandhills.com/news/article/250042680,"Run 4. DERIVED index of used high-horsepower tractors auction values, built by chain-linking the month-over-month percentage changes Sandhills publishes. Base = 100.00 at the first month of each unbroken run of consecutive monthly observations, so levels are comparable ONLY within a run. Not a Sandhills-published index level; the underlying observables are the us_used_*_auction_value_mom_pct / _yoy_pct series, which are preferable for modelling."
idx_used_equipment_values,2024-09-30,2024,Q3,92.26,index,inference,https://www.sandhills.com/news/article/250042818,"Run 4. DERIVED index of used high-horsepower tractors auction values, built by chain-linking the month-over-month percentage changes Sandhills publishes. Base = 100.00 at the first month of each unbroken run of consecutive monthly observations, so levels are comparable ONLY within a run. Not a Sandhills-published index level; the underlying observables are the us_used_*_auction_value_mom_pct / _yoy_pct series, which are preferable for modelling."
idx_used_equipment_values,2024-10-31,2024,Q4,93.62,index,inference,https://www.sandhills.com/news/article/250043052,"Run 4. DERIVED index of used high-horsepower tractors auction values, built by chain-linking the month-over-month percentage changes Sandhills publishes. Base = 100.00 at the first month of each unbroken run of consecutive monthly observations, so levels are comparable ONLY within a run. Not a Sandhills-published index level; the underlying observables are the us_used_*_auction_value_mom_pct / _yoy_pct series, which are preferable for modelling."
idx_used_equipment_values,2024-11-30,2024,Q4,93.78,index,inference,https://www.sandhills.com/news/article/250043171,"Run 4. DERIVED index of used high-horsepower tractors auction values, built by chain-linking the month-over-month percentage changes Sandhills publishes. Base = 100.00 at the first month of each unbroken run of consecutive monthly observations, so levels are comparable ONLY within a run. Not a Sandhills-published index level; the underlying observables are the us_used_*_auction_value_mom_pct / _yoy_pct series, which are preferable for modelling."
