series_id,period_end,fiscal_year,fiscal_quarter,geography,country,segment,value,units,source_type,source,notes
de_revrec_canada,2019-01-27,2019,Q1,Canada,Canada,AT,172,USDm,filing,challenge/offline-data/deere/filings/2019-02-15__de-us-20190215-q1-10q__469204.md,"segment basis: Agriculture & Turf / CF / FS (pre-2021 structure, as originally filed); 3-month table (as reported); ASC 606 revenue from contracts with customers (NOT the 8-K segment net sales basis)"
de_revrec_canada,2019-01-27,2019,Q1,Canada,Canada,CF,248,USDm,filing,challenge/offline-data/deere/filings/2019-02-15__de-us-20190215-q1-10q__469204.md,"segment basis: Agriculture & Turf / CF / FS (pre-2021 structure, as originally filed); 3-month table (as reported); ASC 606 revenue from contracts with customers (NOT the 8-K segment net sales basis)"
de_revrec_canada,2019-01-27,2019,Q1,Canada,Canada,FS,157,USDm,filing,challenge/offline-data/deere/filings/2019-02-15__de-us-20190215-q1-10q__469204.md,"segment basis: Agriculture & Turf / CF / FS (pre-2021 structure, as originally filed); 3-month table (as reported); ASC 606 revenue from contracts with customers (NOT the 8-K segment net sales basis)"
de_revrec_canada,2019-01-27,2019,Q1,Canada,Canada,TOTAL,577,USDm,filing,challenge/offline-data/deere/filings/2019-02-15__de-us-20190215-q1-10q__469204.md,"segment basis: Agriculture & Turf / CF / FS (pre-2021 structure, as originally filed); 3-month table (as reported); ASC 606 revenue from contracts with customers (NOT the 8-K segment net sales basis)"
de_revrec_canada,2019-04-28,2019,Q2,Canada,Canada,AT,313,USDm,filing,challenge/offline-data/deere/filings/2019-05-17__de-us-20190517-q2-10q__469675.md,"segment basis: Agriculture & Turf / CF / FS (pre-2021 structure, as originally filed); 6mo less 3mo (from 2019-02-15__de-us-20190215-q1-10q__469204.md); ASC 606 revenue from contracts with customers (NOT the 8-K segment net sales basis)"
de_revrec_canada,2019-04-28,2019,Q2,Canada,Canada,CF,265,USDm,filing,challenge/offline-data/deere/filings/2019-05-17__de-us-20190517-q2-10q__469675.md,"segment basis: Agriculture & Turf / CF / FS (pre-2021 structure, as originally filed); 6mo less 3mo (from 2019-02-15__de-us-20190215-q1-10q__469204.md); ASC 606 revenue from contracts with customers (NOT the 8-K segment net sales basis)"
de_revrec_canada,2019-04-28,2019,Q2,Canada,Canada,FS,153,USDm,filing,challenge/offline-data/deere/filings/2019-05-17__de-us-20190517-q2-10q__469675.md,"segment basis: Agriculture & Turf / CF / FS (pre-2021 structure, as originally filed); 6mo less 3mo (from 2019-02-15__de-us-20190215-q1-10q__469204.md); ASC 606 revenue from contracts with customers (NOT the 8-K segment net sales basis)"
de_revrec_canada,2019-04-28,2019,Q2,Canada,Canada,TOTAL,731,USDm,filing,challenge/offline-data/deere/filings/2019-05-17__de-us-20190517-q2-10q__469675.md,"segment basis: Agriculture & Turf / CF / FS (pre-2021 structure, as originally filed); 6mo less 3mo (from 2019-02-15__de-us-20190215-q1-10q__469204.md); ASC 606 revenue from contracts with customers (NOT the 8-K segment net sales basis)"
de_revrec_canada,2019-07-28,2019,Q3,Canada,Canada,AT,299,USDm,filing,challenge/offline-data/deere/filings/2019-08-16__de-us-20190816-q3-10q__469206.md,"segment basis: Agriculture & Turf / CF / FS (pre-2021 structure, as originally filed); 9mo less 6mo (from 2019-05-17__de-us-20190517-q2-10q__469675.md); ASC 606 revenue from contracts with customers (NOT the 8-K segment net sales basis)"
de_revrec_canada,2019-07-28,2019,Q3,Canada,Canada,CF,260,USDm,filing,challenge/offline-data/deere/filings/2019-08-16__de-us-20190816-q3-10q__469206.md,"segment basis: Agriculture & Turf / CF / FS (pre-2021 structure, as originally filed); 9mo less 6mo (from 2019-05-17__de-us-20190517-q2-10q__469675.md); ASC 606 revenue from contracts with customers (NOT the 8-K segment net sales basis)"
de_revrec_canada,2019-07-28,2019,Q3,Canada,Canada,FS,148,USDm,filing,challenge/offline-data/deere/filings/2019-08-16__de-us-20190816-q3-10q__469206.md,"segment basis: Agriculture & Turf / CF / FS (pre-2021 structure, as originally filed); 9mo less 6mo (from 2019-05-17__de-us-20190517-q2-10q__469675.md); ASC 606 revenue from contracts with customers (NOT the 8-K segment net sales basis)"
de_revrec_canada,2019-07-28,2019,Q3,Canada,Canada,TOTAL,707,USDm,filing,challenge/offline-data/deere/filings/2019-08-16__de-us-20190816-q3-10q__469206.md,"segment basis: Agriculture & Turf / CF / FS (pre-2021 structure, as originally filed); 9mo less 6mo (from 2019-05-17__de-us-20190517-q2-10q__469675.md); ASC 606 revenue from contracts with customers (NOT the 8-K segment net sales basis)"
de_revrec_canada,2019-11-03,2019,Q4,Canada,Canada,AT,312,USDm,filing,challenge/offline-data/deere/filings/2019-11-27__de-us-20191127-q4-10k__469283.md,"segment basis: Agriculture & Turf / CF / FS (pre-2021 structure, as originally filed); 12mo less 9mo (from 2019-08-16__de-us-20190816-q3-10q__469206.md); ASC 606 revenue from contracts with customers (NOT the 8-K segment net sales basis)"
de_revrec_canada,2019-11-03,2019,Q4,Canada,Canada,CF,334,USDm,filing,challenge/offline-data/deere/filings/2019-11-27__de-us-20191127-q4-10k__469283.md,"segment basis: Agriculture & Turf / CF / FS (pre-2021 structure, as originally filed); 12mo less 9mo (from 2019-08-16__de-us-20190816-q3-10q__469206.md); ASC 606 revenue from contracts with customers (NOT the 8-K segment net sales basis)"
de_revrec_canada,2019-11-03,2019,Q4,Canada,Canada,FS,159,USDm,filing,challenge/offline-data/deere/filings/2019-11-27__de-us-20191127-q4-10k__469283.md,"segment basis: Agriculture & Turf / CF / FS (pre-2021 structure, as originally filed); 12mo less 9mo (from 2019-08-16__de-us-20190816-q3-10q__469206.md); ASC 606 revenue from contracts with customers (NOT the 8-K segment net sales basis)"
de_revrec_canada,2019-11-03,2019,Q4,Canada,Canada,TOTAL,805,USDm,filing,challenge/offline-data/deere/filings/2019-11-27__de-us-20191127-q4-10k__469283.md,"segment basis: Agriculture & Turf / CF / FS (pre-2021 structure, as originally filed); 12mo less 9mo (from 2019-08-16__de-us-20190816-q3-10q__469206.md); ASC 606 revenue from contracts with customers (NOT the 8-K segment net sales basis)"
