series_id,date,plant,city,state_or_region,country,segment,metric,value,units,source_type,source,notes
de_equipment_net_sales,2015-10-31,,,,Worldwide,Equipment Operations (PPA+SAT+CF),net_sales_equipment_operations,25775,usd_millions,filing,challenge/offline-data/deere/filings/2015-11-25__de-us-20151125-q4-10k__469104.md,FY2015 10-K MD&A; reference series so the per-employee ratios are reproducible
de_equipment_net_sales,2016-10-31,,,,Worldwide,Equipment Operations (PPA+SAT+CF),net_sales_equipment_operations,23387,usd_millions,filing,challenge/offline-data/deere/filings/2016-11-23__de-us-20161123-q4-10k__469184.md,FY2016 10-K MD&A; reference series so the per-employee ratios are reproducible
de_equipment_net_sales,2017-10-29,,,,Worldwide,Equipment Operations (PPA+SAT+CF),net_sales_equipment_operations,25885,usd_millions,filing,challenge/offline-data/deere/filings/2017-11-22__de-us-20171122-q4-10k__468364.md,FY2017 10-K MD&A; reference series so the per-employee ratios are reproducible
de_equipment_net_sales,2018-10-28,,,,Worldwide,Equipment Operations (PPA+SAT+CF),net_sales_equipment_operations,33351,usd_millions,filing,challenge/offline-data/deere/filings/2018-11-21__de-us-20181121-q4-10k__469201.md,FY2018 10-K MD&A; reference series so the per-employee ratios are reproducible
de_equipment_net_sales,2019-11-03,,,,Worldwide,Equipment Operations (PPA+SAT+CF),net_sales_equipment_operations,34886,usd_millions,filing,challenge/offline-data/deere/filings/2019-11-27__de-us-20191127-q4-10k__469283.md,FY2019 10-K MD&A; reference series so the per-employee ratios are reproducible
de_equipment_net_sales,2020-11-01,,,,Worldwide,Equipment Operations (PPA+SAT+CF),net_sales_equipment_operations,31272,usd_millions,filing,challenge/offline-data/deere/filings/2020-11-25__de-us-20201125-q4-10k__105845.md,FY2020 10-K MD&A; reference series so the per-employee ratios are reproducible
de_equipment_net_sales,2021-10-31,,,,Worldwide,Equipment Operations (PPA+SAT+CF),net_sales_equipment_operations,39737,usd_millions,filing,challenge/offline-data/deere/filings/2021-11-24__de-us-20211124-q4-10k__131650.md,FY2021 10-K MD&A; reference series so the per-employee ratios are reproducible
de_equipment_net_sales,2022-10-30,,,,Worldwide,Equipment Operations (PPA+SAT+CF),net_sales_equipment_operations,47917,usd_millions,filing,challenge/offline-data/deere/filings/2022-11-23__de-us-20221123-q4-10k__105816.md,FY2022 10-K MD&A; reference series so the per-employee ratios are reproducible
de_equipment_net_sales,2023-10-29,,,,Worldwide,Equipment Operations (PPA+SAT+CF),net_sales_equipment_operations,55565,usd_millions,filing,challenge/offline-data/deere/filings/2023-11-22__de-us-20231122-q4-10k__105844.md,FY2023 10-K MD&A; reference series so the per-employee ratios are reproducible
de_equipment_net_sales,2024-10-27,,,,Worldwide,Equipment Operations (PPA+SAT+CF),net_sales_equipment_operations,44759,usd_millions,filing,challenge/offline-data/deere/filings/2024-11-21__de-us-20241121-q4-10k__105810.md,FY2024 10-K MD&A; reference series so the per-employee ratios are reproducible
de_equipment_net_sales,2025-11-02,,,,Worldwide,Equipment Operations (PPA+SAT+CF),net_sales_equipment_operations,38917,usd_millions,filing,challenge/offline-data/deere/filings/2025-11-26__de-us-20251126-q4-10k__469216.md,FY2025 10-K MD&A; reference series so the per-employee ratios are reproducible
de_equipment_sales_per_production_employee,2024-10-27,,,,Worldwide,Equipment Operations (PPA+SAT+CF),equipment_net_sales_per_full_time_production_employee,1271562,usd_per_employee,inference,challenge/offline-data/deere/filings/2024-11-21__de-us-20241121-q4-10k__105810.md,FY2024 equipment ops net sales $44759m / 35200 production employees; capacity-utilisation check
de_equipment_sales_per_production_employee,2025-11-02,,,,Worldwide,Equipment Operations (PPA+SAT+CF),equipment_net_sales_per_full_time_production_employee,1197446,usd_per_employee,inference,challenge/offline-data/deere/filings/2025-11-26__de-us-20251126-q4-10k__469216.md,FY2025 equipment ops net sales $38917m / 32500 production employees; capacity-utilisation check
de_equipment_sales_per_uaw_covered_worker,2015-10-31,,,,Worldwide/US mix,Equipment Operations (PPA+SAT+CF),worldwide_equipment_net_sales_per_uaw_covered_us_worker,2577500,usd_per_employee,inference,challenge/offline-data/deere/filings/2015-11-25__de-us-20151125-q4-10k__469104.md,"FY2015. CROSS-BASIS INDEX, not a true productivity figure: numerator is worldwide equipment net sales, denominator is US UAW-covered heads only. Useful only for its YoY direction and for testing whether union headcount tracks shipments"
de_equipment_sales_per_uaw_covered_worker,2016-10-31,,,,Worldwide/US mix,Equipment Operations (PPA+SAT+CF),worldwide_equipment_net_sales_per_uaw_covered_us_worker,3077237,usd_per_employee,inference,challenge/offline-data/deere/filings/2016-11-23__de-us-20161123-q4-10k__469184.md,"FY2016. CROSS-BASIS INDEX, not a true productivity figure: numerator is worldwide equipment net sales, denominator is US UAW-covered heads only. Useful only for its YoY direction and for testing whether union headcount tracks shipments"
de_equipment_sales_per_uaw_covered_worker,2017-10-29,,,,Worldwide/US mix,Equipment Operations (PPA+SAT+CF),worldwide_equipment_net_sales_per_uaw_covered_us_worker,2975287,usd_per_employee,inference,challenge/offline-data/deere/filings/2017-11-22__de-us-20171122-q4-10k__468364.md,"FY2017. CROSS-BASIS INDEX, not a true productivity figure: numerator is worldwide equipment net sales, denominator is US UAW-covered heads only. Useful only for its YoY direction and for testing whether union headcount tracks shipments"
de_equipment_sales_per_uaw_covered_worker,2018-10-28,,,,Worldwide/US mix,Equipment Operations (PPA+SAT+CF),worldwide_equipment_net_sales_per_uaw_covered_us_worker,3474062,usd_per_employee,inference,challenge/offline-data/deere/filings/2018-11-21__de-us-20181121-q4-10k__469201.md,"FY2018. CROSS-BASIS INDEX, not a true productivity figure: numerator is worldwide equipment net sales, denominator is US UAW-covered heads only. Useful only for its YoY direction and for testing whether union headcount tracks shipments"
de_equipment_sales_per_uaw_covered_worker,2019-11-03,,,,Worldwide/US mix,Equipment Operations (PPA+SAT+CF),worldwide_equipment_net_sales_per_uaw_covered_us_worker,3751183,usd_per_employee,inference,challenge/offline-data/deere/filings/2019-11-27__de-us-20191127-q4-10k__469283.md,"FY2019. CROSS-BASIS INDEX, not a true productivity figure: numerator is worldwide equipment net sales, denominator is US UAW-covered heads only. Useful only for its YoY direction and for testing whether union headcount tracks shipments"
de_equipment_sales_per_uaw_covered_worker,2020-11-01,,,,Worldwide/US mix,Equipment Operations (PPA+SAT+CF),worldwide_equipment_net_sales_per_uaw_covered_us_worker,3578032,usd_per_employee,inference,challenge/offline-data/deere/filings/2020-11-25__de-us-20201125-q4-10k__105845.md,"FY2020. CROSS-BASIS INDEX, not a true productivity figure: numerator is worldwide equipment net sales, denominator is US UAW-covered heads only. Useful only for its YoY direction and for testing whether union headcount tracks shipments"
de_equipment_sales_per_uaw_covered_worker,2021-10-31,,,,Worldwide/US mix,Equipment Operations (PPA+SAT+CF),worldwide_equipment_net_sales_per_uaw_covered_us_worker,3784476,usd_per_employee,inference,challenge/offline-data/deere/filings/2021-11-24__de-us-20211124-q4-10k__131650.md,"FY2021. CROSS-BASIS INDEX, not a true productivity figure: numerator is worldwide equipment net sales, denominator is US UAW-covered heads only. Useful only for its YoY direction and for testing whether union headcount tracks shipments"
de_equipment_sales_per_uaw_covered_worker,2022-10-30,,,,Worldwide/US mix,Equipment Operations (PPA+SAT+CF),worldwide_equipment_net_sales_per_uaw_covered_us_worker,4166696,usd_per_employee,inference,challenge/offline-data/deere/filings/2022-11-23__de-us-20221123-q4-10k__105816.md,"FY2022. CROSS-BASIS INDEX, not a true productivity figure: numerator is worldwide equipment net sales, denominator is US UAW-covered heads only. Useful only for its YoY direction and for testing whether union headcount tracks shipments"
